"DCCFileName","construct","instrument_type","read_pattern","expected_neg","slide.name","class","segment","area","region","pathology","nuclei","FileVersion","SoftwareVersion","Date","SampleID","Plate_ID","Well","SeqSetId","Raw","Trimmed","Stitched","Aligned","umiQ30","rtsQ30","DeduplicatedReads","roi","aoi","NTC_ID","NTC","QCFlags.LowReads","QCFlags.LowTrimmed","QCFlags.LowStitched","QCFlags.LowAligned","QCFlags.LowSaturation","QCFlags.LowNegatives","QCFlags.HighNTC","QCFlags.LowNuclei","QCFlags.LowArea","Trimmed....","Stitched....","Aligned....","Saturated....","TAP_H_WTA_v1.0"
"DSP-1001250007851-H-A02.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",31797.59,"glomerulus","abnormal",16871,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A02","1001250007851","A02","",5521543,5471679,5426943,5182304,0.9939,0.9932,519757,7,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,99.0969191039534,98.2867107980505,93.8560833448187,89.9705420600567,10.7668245427511
"DSP-1001250007851-H-A03.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",16920.1,"glomerulus","abnormal",17684,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A03","1001250007851","A03","",3688649,3661664,3634011,3470622,0.9948,0.9942,342783,8,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,99.2684313416647,98.5187530719242,94.0892451409717,90.1232977835097,6.91518405985958
"DSP-1001250007851-H-A04.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",14312.33,"glomerulus","abnormal",15108,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A04","1001250007851","A04","",2470587,2452568,2432975,2325816,0.9949,0.9943,299883,9,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,99.2706591591391,98.4776087626139,94.1402184986807,87.1063317132568,5.42443383139376
"DSP-1001250007851-H-A05.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",20032.84,"glomerulus","abnormal",15271,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A05","1001250007851","A05","",3703066,3654886,3618022,3459194,0.9925,0.9909,392537,10,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,98.6989159793533,97.7034165742658,93.4143220779754,88.6523565894252,7.24305352296018
"DSP-1001250007851-H-A06.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",27583.26,"glomerulus","abnormal",18256,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A06","1001250007851","A06","",5916477,5856159,5802764,5548026,0.9934,0.9923,594119,11,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98.9805081638955,98.0780285294779,93.772459522787,89.2913443448174,11.3279742897338
"DSP-1001250007851-H-A07.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",18164.84,"glomerulus","abnormal",16899,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A07","1001250007851","A07","",2723251,2701322,2681044,2561699,0.9944,0.9937,257262,12,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,99.1947492170204,98.450124501928,94.0676786678863,89.9573681373182,5.07727195153725
"DSP-1001250007851-H-A08.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",25827.59,"glomerulus","abnormal",17658,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A08","1001250007851","A08","",6274410,6227843,6175954,5907459,0.995,0.9943,536785,13,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,99.2578266323049,98.4308325404301,94.1516254117917,90.9134367246561,10.3751901827802
"DSP-1001250007851-H-A09.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",12021.51,"glomerulus","abnormal",18679,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A09","1001250007851","A09","",2873507,2850166,2827703,2701890,0.9944,0.9936,281428,14,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,99.1877173085014,98.4059896147808,94.0276115561925,89.5840319183979,5.2406524886533
"DSP-1001250007851-H-A10.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",22156.95,"glomerulus","abnormal",16803,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A10","1001250007851","A10","",4311045,4274528,4240919,4047813,0.9941,0.9933,411528,15,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,99.1529431959073,98.3733410344824,93.8940094571038,89.8333248102123,8.44487018525677
"DSP-1001250007851-H-A11.dcc","directPCR","NextSeq","2x27",0,"disease3","DKD","Geometric Segment",26042.71,"glomerulus","abnormal",18590,0.2,2.0.0,2020-06-15,"DSP-1001250007851-H-A11","1001250007851","A11","",4771232,4723805,4681130,4464995,0.9937,0.9929,512650,16,"Geometric Segment-aoi-001","DSP-1001250007851-H-A01.dcc",113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,99.005980006841,98.1115569312077,93.5815948585187,88.5184641864101,10.9048748085952
